Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
26514, 27055, 43263, 43269, 44644, 28179, 22196, 23241, 27265
27907, 27847, 42996, 43429, 42748, 28376, 22707, 22769, 26263
27511, 27970, 41345, 41924, 44139, 28080, 22805, 23166, 25867
27603, 27733, 42652, 41845, 43080, 26616, 21641, 22808, 25490
26895, 26319, 40688, 39409, 41699, 26886, 22297, 22522, 26562
26712, 26307, 41831, 40614, 42461, 26721, 20968, 22309, 25176
27161, 27026, 41291, 39729, 41906, 26577, 21577, 23040, 27563
26588, 28059, 43132, 42055, 44274, 28436, 21833, 22912, 31091
26613, 28155, 43512, 42181, 43316, 28397, 22361, 24794, 29107
26747, 27789, 42464, 42563, 43971, 28727, 22392, 23699, 28142
26294, 27076, 40875, 40926, 43641, 27307, 21630, 21757, 26962
27926, 27110, 40693, 40683, 43294, 27303, 22709, 23295, 26226
27232, 26862, 41351, 40484, 43851, 27487, 21793, 23705, 25038
27065, 26519, 41390, 42535, 42943, 27217, 22490, 22962, 27029
27048, 27348, 41451, 40758, 42223, 27326, 22347, 23068, 26141
26782, 26849, 41418, 40431, 43169, 27717, 22005, 22009, 27726
26535, 26808, 40734, 40283, 41729, 27483, 22506, 22626, 25090
26978, 27359, 43032, 41197, 42202, 27709, 22579, 23621, 26714
26627, 27162, 41625, 41120, 43329, 27869, 22272, 23092, 27155
26817, 27430, 41727, 42694, 41896, 27587, 21974, 22185, 26774
27837, 27570, 41686, 40604, 40906, 27289, 21394, 23560, 26582
26688, 26584, 40356, 42601, 43231, 27275, 22080, 22181, 28564
26579, 27384, 40999, 41236, 42276, 26963, 21188, 22568, 25692
26836, 26782, 40347, 41491, 41632, 27322, 21960, 22927, 26150
26856, 27830, 42366, 42812, 44272, 28310, 22267, 23282, 26601
26576, 27900, 41905, 44890, 43382, 28589, 21829, 23292, 25395
26758, 27780, 41602, 41809, 43764, 28567, 22312, 22104, 25914
26973, 26972, 41906, 42308, 42535, 27571, 22398, 22489, 26465
27256, 27343, 41092, 40521, 41841, 27320, 21996, 23552, 26173
27911, 26994, 41336, 40703, 42581, 27734, 21784, 22594, 27567
26876, 26917, 41178, 42960, 42897, 27785, 21321, 23175, 27004
27664, 27352, 41768, 40576, 42406, 27575, 21876, 22727, 27448
27035, 27009, 42069, 41138, 43042, 27923, 22017, 22057, 26692
27038, 27052, 41407, 41601, 42185, 27572, 21265, 22933, 26844
27010, 28133, 42267, 40166, 42072, 28158, 22333, 22833, 25921
26818, 27625, 40849, 41741, 42841, 28350, 22878, 23213, 26560
26655, 27626, 41888, 42341, 42554, 28253, 21803, 22530, 27802
27104, 27881, 39632, 41430, 41749, 27290, 21735, 22279, 24059
27970, 26833, 39805, 39259, 41240, 27692, 21341, 21109, 26260
27927, 27046, 41144, 42046, 41140, 27232, 21691, 22317, 25149
28121, 27117, 41212, 39606, 40765, 27314, 21893, 27180, 26467
26536, 26457, 40707, 41076, 41715, 27335, 21878, 22215, 25002
26626, 26463, 41335, 40050, 42634, 27215, 21273, 22565, 25883
26864, 26964, 41169, 41530, 41319, 27002, 22173, 22013, 25824
26826, 26642, 41280, 41176, 42922, 27425, 21604, 23015, 26556
26796, 26584, 41705, 42141, 42439, 27019, 22344, 22790, 24896
27419, 27221, 40951, 39782, 41884, 27093, 22204, 23182, 26142
26816, 27000, 41160, 41784, 42430, 27318, 21725, 21877, 26323
26522, 26662, 39791, 41051, 40613, 27141, 22066, 22151, 26512
26736, 26867, 40564, 40452, 41829, 27032, 21775, 23292, 26325
26410, 26630, 40802, 40226, 42947, 27246, 22334, 23242, 27741
26832, 27759, 42235, 43518, 43777, 27925, 21942, 23700, 26236
27087, 27642, 41973, 42150, 42669, 27791, 22738, 22921, 27329
26809, 27373, 42555, 42062, 43697, 28005, 22661, 22880, 27128
26782, 27248, 42113, 41229, 43229, 26815, 21873, 23325, 25966
27705, 26519, 41743, 40573, 43490, 27627, 22108, 22759, 24662
27558, 26847, 41157, 41637, 42835, 27134, 21166, 22270, 26700
27773, 26740, 41694, 40945, 42250, 26748, 22346, 22916, 26565
26453, 26147, 40038, 40524, 41887, 27127, 21056, 21964, 27896
